日期,价格
2025年3月3日,5.56
2025年3月10日,5.52
2025年3月17日,5.63
2025年3月24日,5.77
2025年3月31日,5.76
2025年4月7日,5.54
2025年4月14日,5.52
2025年4月21日,5.5
2025年4月28日,5.44
2025年5月6日,5.63
2025年5月12日,5.78
2025年5月19日,5.75
2025年5月26日,5.84
2025年6月3日,5.78
2025年6月9日,5.81
2025年6月16日,5.84
2025年6月23日,5.75
2025年6月30日,5.87
2025年7月7日,5.78
2025年7月14日,5.63
2025年7月21日,5.72
2025年7月28日,5.63
2025年8月4日,5.75
2025年8月11日,5.72
2025年8月18日,5.79
2025年8月25日,5.64
2025年9月1日,5.53
2025年9月8日,5.58
2025年9月15日,5.56
2025年9月22日,5.48
2025年9月29日,5.45
2025年10月6日,5.55
2025年10月13日,5.57
2025年10月20日,5.62
2025年10月27日,5.58
2025年11月3日,5.62
2025年11月10日,5.69
