日期,价格
2025年4月28日,5.55
2025年4月29日,5.48
2025年4月30日,5.44
2025年5月6日,5.47
2025年5月7日,5.58
2025年5月8日,5.55
2025年5月9日,5.63
2025年5月12日,5.67
2025年5月13日,5.71
2025年5月14日,5.82
2025年5月15日,5.81
2025年5月16日,5.78
2025年5月19日,5.88
2025年5月20日,5.79
2025年5月21日,5.78
2025年5月22日,5.83
2025年5月23日,5.75
2025年5月26日,5.74
2025年5月27日,5.75
2025年5月28日,5.76
2025年5月29日,5.78
2025年5月30日,5.84
2025年6月3日,5.83
2025年6月4日,5.76
2025年6月5日,5.76
2025年6月6日,5.78
2025年6月9日,5.77
2025年6月10日,5.77
2025年6月11日,5.8
2025年6月12日,5.76
2025年6月13日,5.81
2025年6月16日,5.78
2025年6月17日,5.8
2025年6月18日,5.82
2025年6月19日,5.76
2025年6月20日,5.84
2025年6月23日,5.9
2025年6月24日,5.84
2025年6月25日,5.86
2025年6月26日,5.82
2025年6月27日,5.75
2025年6月30日,5.71
2025年7月1日,5.74
2025年7月2日,5.82
2025年7月3日,5.78
2025年7月4日,5.87
2025年7月7日,5.84
2025年7月8日,5.78
2025年7月9日,5.76
2025年7月10日,5.8
2025年7月11日,5.78
2025年7月15日,5.74
2025年7月16日,5.74
2025年7月17日,5.59
2025年7月18日,5.63
2025年7月22日,5.71
2025年7月23日,5.77
2025年7月24日,5.79
2025年7月25日,5.72
2025年7月28日,5.7
2025年7月29日,5.69
2025年7月30日,5.74
2025年7月31日,5.63
2025年8月1日,5.63
2025年8月4日,5.66
2025年8月5日,5.7
2025年8月6日,5.7
2025年8月7日,5.75
2025年8月8日,5.75
2025年8月11日,5.75
2025年8月12日,5.77
2025年8月13日,5.76
2025年8月14日,5.71
2025年8月15日,5.72
2025年8月18日,5.72
2025年8月19日,5.69
2025年8月20日,5.74
2025年8月21日,5.81
2025年8月22日,5.79
2025年8月25日,5.87
2025年8月26日,5.87
2025年8月27日,5.76
2025年8月28日,5.75
2025年8月29日,5.64
2025年9月1日,5.59
2025年9月2日,5.61
2025年9月3日,5.56
2025年9月4日,5.56
2025年9月5日,5.53
2025年9月8日,5.59
2025年9月9日,5.57
2025年9月10日,5.56
2025年9月11日,5.59
2025年9月12日,5.58
2025年9月15日,5.59
2025年9月16日,5.61
2025年9月17日,5.67
2025年9月18日,5.56
2025年9月19日,5.56
2025年9月22日,5.53
2025年9月23日,5.56
2025年9月24日,5.54
2025年9月25日,5.51
2025年9月26日,5.48
2025年9月29日,5.47
2025年9月30日,5.45
2025年10月9日,5.53
2025年10月10日,5.55
2025年10月13日,5.52
2025年10月14日,5.58
2025年10月15日,5.57
2025年10月16日,5.59
2025年10月17日,5.57
2025年10月20日,5.55
2025年10月21日,5.57
2025年10月22日,5.6
2025年10月23日,5.67
2025年10月24日,5.62
2025年10月27日,5.67
2025年10月28日,5.67
2025年10月29日,5.65
2025年10月30日,5.67
2025年10月31日,5.58
2025年11月3日,5.6
2025年11月4日,5.59
2025年11月5日,5.6
2025年11月6日,5.61
2025年11月7日,5.62
2025年11月10日,5.72
2025年11月11日,5.69
2025年11月12日,5.7
2025年11月13日,5.67
2025年11月14日,5.69
2025年11月17日,5.64
2025年11月18日,5.59
